read in img from ./testdata/1.png
octave = 1
octave = 2
(156, 117, 233.61817993841416)
(158, 117, 233.1609777291022)
(171, 90, 255.0)
(171, 90, 255.0)
(13, 107, 225.04004410789605)
(13, 135, 221.5862398919619)
(15, 74, 223.9721804666853)
(16, 116, 230.28173816463163)
(16, 127, 230.5532066583322)
(17, 46, 230.12599753731806)
(18, 85, 229.75341353882362)
(20, 72, 218.59477699575297)
(23, 53, 221.189820097731)
(23, 92, 220.36879945961425)
(24, 60, 210.31301626605125)
(52, 47, 255.0)
(53, 66, 239.31093756338652)
(71, 68, 185.92365768252947)
(72, 93, 220.11856606146958)
(74, 58, 249.1878363668981)
(75, 82, 193.66991674514205)
(79, 125, 234.20690267990273)
(91, 62, 227.39306759977188)
(91, 111, 185.43104227060226)
(95, 143, 254.69718818750047)
(100, 122, 195.99097045074754)
(102, 114, 216.25020795419042)
(104, 70, 200.5279329828183)
(107, 81, 213.72939683048637)
(62, 87, 255.0)
(100, 69, 214.88930091164576)
total: 216954
max >= self.threshold: 216954
31
